ID,Created Date,Updated Date,Owner,Tool_Name,Slug,Problem_Solved,Target_Persona,Embed_Code,Related_Partner,CTA_Text,Access_Level,Import 6-2,FundingProducts_tools,Publish Date,Unpublish Date,Status,Build_Status,Card_Headline,Inputs,Outputs,Why_It_Matters,Example_Use_Case,Badge_1,Badge_2,Time_To_Value,Icon_URL,CTA_Link
14e6d0fb-ede5-4d0a-bf58-5434ad69e2f1,2026-02-10T07:56:24Z,2026-02-10T07:57:32Z,d981d23e-018c-471a-856f-e516d21bd10b,70-Second Eligibility Score,funding-eligibility,Instantly filters users into Startup (0% interest) vs Revenue-Based paths.,General Traffic,<iframe src='https://tally.so/embed/mOe658'></iframe>,,Check My Funding Power,Public,,,2026-02-10T07:56:24Z,,PUBLISHED,,,,,,,,,,,
288a551a-237c-413e-872a-4bf0e60d9a95,2026-02-10T07:56:24Z,2026-02-10T07:57:32Z,d981d23e-018c-471a-856f-e516d21bd10b,Investor Data Room Template (Vercel Deploy),investor-data-room,"Founders need a clean, investor-ready place to host the deck, financials, and team info without emailing messy attachments.",Founders raising capital; acquisition entrepreneurs; indie SaaS builders,<a href='https://vercel.com/new/clone...'>Deploy</a>,,Clone Data Room,Gated,,,2026-02-10T07:56:24Z,,PUBLISHED,beta,"Send one link, not 12 PDFs",Company basics; pitch deck; financials; team bio; metrics,Password-protected data room link + upload structure,Every investor touchpoint is a trust test. This makes you look organized in minutes.,You’re pitching 7 angels this week. You send one clean link instead of a Dropbox mess.,Deploy-ready,Investor-grade,10–20 min,,https://www.distilledfunding.com/book
82f61e7f-675c-4e27-9100-f95d7f85f77d,2026-02-10T07:56:24Z,2026-02-10T07:57:32Z,d981d23e-018c-471a-856f-e516d21bd10b,Fundability Score Widget,fundability-score,People guess at fundability. This gives an instant ‘where you stand’ snapshot and next steps.,SMB owners; ecommerce sellers; gig/self-employed; agencies screening clients,<script src='https://cdn.moonshine/fundability.js'></script>,,Improve My Score,Public,,,2026-02-10T07:56:24Z,,PUBLISHED,live,Check your funding power,Monthly revenue; time in business; industry; credit band (optional),Fundability score band + best-fit product paths,Turns vague interest into a concrete number—and a clear next action.,You’re doing $35k/mo. The widget tells you what’s realistic today and what to fix next.,60 sec,No credit pull,1 min,,https://www.distilledfunding.com/get-matched
86460963-eed7-4e61-a02c-12f10ea7f8c4,2026-02-10T07:56:24Z,2026-02-10T07:58:39Z,d981d23e-018c-471a-856f-e516d21bd10b,Cash Flow Gap Bridge Calculator,cash-flow-bridge,Calculates the exact MCA amount needed to cover payroll while waiting for a Net-30 check.,Construction Subcontractors,"<p class=""font_8"">&lt;script src='https://cdn.moonshine/widget-bridge.js'&gt;&lt;/script&gt;</p>","[""0d763d67-a3a1-40fc-b73c-e9e50ec05149"",""e9cda464-ab5f-4c38-834f-ed52edf4db6c""]",Get Bridge Funds Now,Public,,,2026-02-10T07:56:24Z,,PUBLISHED,,,,,,,,,,,
ae2d80c1-a692-4688-8530-61164c106a22,2026-02-10T07:56:24Z,2026-02-10T07:57:32Z,d981d23e-018c-471a-856f-e516d21bd10b,Amazon Stockout Death Spiral,amazon-stockout,Quantifies revenue lost per hour during an inventory stockout vs cost of capital.,Amazon FBA Sellers,<script src='https://cdn.moonshine/widget-stockout.js'></script>,,Stop the Bleed - Fund Inventory,Public,"[""7ed34308-2c9f-4ae4-a12b-42ec74b3972e""]",,2026-02-10T07:56:24Z,,PUBLISHED,,,,,,,,,,,
fc76132a-28ca-4b0d-b45d-8296ba4ff2a4,2026-02-10T07:56:24Z,2026-02-10T07:57:32Z,d981d23e-018c-471a-856f-e516d21bd10b,Cost of Capital Comparator,cost-comparator,Most offers hide the real cost. This makes payback and trade-offs obvious (MCA vs LOC vs equity).,Founders comparing offers; brokers; finance ops leads,<script src='https://cdn.moonshine/cost-calc.js'></script>,,See Real Costs,Public,,,2026-02-10T07:56:24Z,,PUBLISHED,live,See the real cost fast,Offer amount; term; rate/factor; fees; expected revenue,Side-by-side payback + effective APR + ‘pain meter’,Transparency as a weapon—prevents expensive ‘fast money’ mistakes.,You got a factor-rate offer. This shows the true APR and cheaper alternatives.,2 min,Side-by-side,2–3 min,,https://www.distilledfunding.com/book
,,,,Equity Defender Simulator,equity-defender-simulator,Visualizes how dilution compounds across rounds vs non-dilutive paths.,Startups & SaaS founders considering VC vs non-dilutive capital,,,See Your Dilution,Public,,,,,DRAFT,coming-soon,Watch your equity disappear,Valuation; raise amount; assumed future rounds,Ownership dilution simulation + non-dilutive comparison,People don’t ‘feel’ dilution until they see it. This makes the pain visible.,You think $500k is ‘small.’ The simulator shows what it costs by Series B.,Interactive,Founder-safe,90 sec,,https://www.distilledfunding.com/get-matched
,,,,Bad Debt Detector (MCA Killer),bad-debt-detector,Extracts terms from offers and calculates true APR + red flags (factor-rate traps).,SMBs offered MCA/fast funding; founders under time pressure,,,Analyze My Offer,Gated,,,,,DRAFT,coming-soon,Is this offer a trap?,Offer PDF or terms; amount; factor/rate; holdback; term,True cost report + red-flag list + safer alternatives,Saves you from signing the financial equivalent of a bear trap.,You got ‘easy approval’ funding. This reveals the real APR before you sign.,OCR-ready,True APR,3–5 min,,https://www.distilledfunding.com/book
,,,,Runway Extender Dashboard,runway-extender-dashboard,Projects burn + ‘death date’ and shows how different capital injections extend runway.,Startups; agencies; ecommerce brands watching cash,,,Check My Runway,Gated,,,,,DRAFT,coming-soon,Find your cash ‘death date’,Cash on hand; monthly burn; revenue trend (or connect Stripe/Plaid),Runway chart + scenarios (‘inject capital’ toggles),Urgency becomes math. Math becomes action.,You have 63 days left. This shows what $50k buys you in time.,Real data,Scenario toggles,5 min,,https://www.distilledfunding.com/get-matched
,,,,Deal Memo Generator (AI Agent),deal-memo-generator,Turns messy founder answers into a lender/investor-ready executive summary / deal memo.,Founders applying for capital; acquisition buyers; brokers prepping submissions,,,Generate My Deal Memo,Gated,,,,,DRAFT,coming-soon,Stop writing applications,5–6 business questions; basic financials; use of funds,Banker-style deal memo PDF + submission-ready summary,Professional packaging increases approvals and speed.,You’re applying to 3 lenders. One memo makes you look 10x more organized.,AI-written,Lender-ready,7–10 min,,https://www.distilledfunding.com/book
